Accident_ID,Date,Time,Location,Weather_Condition,Road_Surface,Light_Condition,Number_of_Vehicles,Number_of_Casualties,Accident_Severity,Vehicle_Type,Driver_Age,Driver_Gender,Speed_Limit,Alcohol_Involved,Cause_of_Accident
206,2024-09-24,11:00:45,Debbiefort,Rainy,Wet,Dark with street lights,5,2,Fatal,Truck,62,Female,30,No,Bad Weather
207,2023-11-04,20:58:29,Kathymouth,Snow,Snowy,Dark with street lights,5,4,Minor,Truck,50,Female,90,Yes,Drunk Driving
208,2024-07-17,03:19:39,Donnaburgh,Clear,Wet,Dark with street lights,4,5,Serious,Motorbike,63,Female,50,No,Drunk Driving
209,2023-11-15,12:38:05,West Susan,Clear,Dry,Dark without lights,5,5,Minor,Van,30,Female,50,Yes,Drunk Driving
210,2023-11-15,08:06:53,Dunlapville,Stormy,Wet,Dark with street lights,5,4,Serious,Truck,37,Female,50,No,Distracted Driving
211,2024-10-18,16:52:45,South David,Rainy,Dry,Dark with street lights,4,2,Serious,Van,62,Male,110,Yes,Overspeeding
212,2024-01-26,23:07:11,Tiffanyborough,Clear,Icy,Dark without lights,5,1,Serious,Truck,20,Male,70,Yes,Overspeeding
213,2024-04-19,16:23:07,New Carlosmouth,Clear,Icy,Dark without lights,2,2,Fatal,Car,75,Male,110,Yes,Other
214,2024-07-22,10:23:52,Santiagoside,Clear,Snowy,Daylight,2,5,Fatal,Motorbike,67,Female,70,No,Distracted Driving
215,2025-03-09,12:14:01,Douglasport,Windy,Snowy,Dark without lights,1,2,Fatal,Car,40,Female,30,Yes,Other
216,2024-09-11,13:56:13,North Ronald,Clear,Wet,Dark without lights,5,5,Minor,Van,18,Female,110,Yes,Bad Weather
217,2025-01-14,20:05:21,Transide,Stormy,Icy,Dark without lights,2,5,Serious,Bicycle,62,Male,30,No,Distracted Driving
218,2023-07-27,18:57:35,Kaneside,Fog,Wet,Daylight,4,1,Fatal,Van,65,Male,110,No,Overspeeding
219,2025-01-22,13:42:55,Smithchester,Snow,Wet,Dark without lights,2,4,Serious,Motorbike,68,Female,50,No,Other
220,2024-02-02,12:48:52,Jacobmouth,Fog,Icy,Daylight,3,1,Minor,Bicycle,64,Female,90,No,Distracted Driving
221,2024-09-11,17:25:20,Parksburgh,Clear,Wet,Dark without lights,2,5,Serious,Van,34,Male,70,Yes,Bad Weather
222,2024-02-13,10:12:24,East John,Snow,Dry,Dark without lights,5,2,Serious,Car,51,Male,50,No,Distracted Driving
223,2024-06-22,20:18:54,Leehaven,Windy,Icy,Dark with street lights,5,0,Fatal,Motorbike,59,Female,50,Yes,Overspeeding
224,2025-03-24,19:52:38,Lake Johnfort,Clear,Dry,Dark without lights,1,5,Minor,Car,73,Male,70,No,Overspeeding
225,2023-10-07,18:29:42,Stephanieland,Windy,Icy,Dark with street lights,1,4,Fatal,Car,34,Female,30,No,Other
226,2023-10-28,20:19:33,Marybury,Rainy,Icy,Dark without lights,3,1,Minor,Motorbike,46,Female,50,Yes,Mechanical Failure
227,2023-08-18,01:36:49,Lake Timothy,Clear,Snowy,Daylight,3,5,Fatal,Car,26,Male,50,No,Mechanical Failure
228,2024-06-30,19:08:46,Kelleystad,Snow,Dry,Dark with street lights,5,3,Serious,Truck,63,Male,90,No,Mechanical Failure
229,2023-09-19,19:03:34,Alexanderside,Stormy,Snowy,Dark with street lights,2,0,Minor,Motorbike,39,Female,110,No,Mechanical Failure
230,2024-11-11,14:34:24,Lake Laurenbury,Rainy,Icy,Daylight,3,3,Minor,Bus,73,Male,70,Yes,Other
231,2024-12-13,19:56:28,New Justinhaven,Fog,Dry,Daylight,4,0,Minor,Bicycle,50,Male,30,Yes,Bad Weather
232,2025-02-19,04:32:24,Lake Anna,Clear,Icy,Daylight,4,3,Minor,Bus,55,Female,70,No,Overspeeding
233,2024-09-05,15:19:55,South Maureen,Windy,Dry,Daylight,1,3,Fatal,Motorbike,32,Female,90,No,Other
234,2023-07-06,00:20:35,Lake Elijahchester,Clear,Snowy,Dark without lights,5,2,Serious,Van,56,Male,30,Yes,Drunk Driving
235,2024-06-07,09:26:53,Christopherville,Stormy,Wet,Dark with street lights,2,0,Minor,Truck,43,Female,90,No,Bad Weather
236,2025-03-15,07:22:35,Port Sydney,Fog,Snowy,Dark without lights,5,2,Fatal,Car,34,Female,70,No,Overspeeding
237,2025-02-01,08:14:00,Kellymouth,Windy,Icy,Dark without lights,5,4,Serious,Car,33,Male,90,No,Other
238,2025-01-27,12:07:17,West Micheleborough,Stormy,Dry,Daylight,2,5,Fatal,Car,30,Male,70,Yes,Overspeeding
239,2024-07-09,19:15:56,Lake John,Clear,Wet,Daylight,2,4,Serious,Bus,78,Female,110,No,Bad Weather
240,2023-04-30,17:15:39,Kyleberg,Fog,Snowy,Dark without lights,3,2,Fatal,Truck,66,Male,50,No,Drunk Driving
241,2024-07-14,03:25:10,Lewisbury,Stormy,Wet,Daylight,3,4,Fatal,Bus,66,Male,110,Yes,Bad Weather
242,2023-11-25,02:58:12,Longbury,Stormy,Icy,Dark without lights,4,0,Minor,Car,73,Male,90,No,Drunk Driving
243,2023-06-09,17:11:39,North Maxwellhaven,Fog,Dry,Dark with street lights,2,3,Minor,Motorbike,40,Female,30,No,Distracted Driving
244,2025-02-13,22:36:42,Huberfort,Stormy,Icy,Dark without lights,4,2,Minor,Motorbike,59,Female,90,Yes,Mechanical Failure
245,2024-03-29,10:37:02,Sandrastad,Stormy,Snowy,Dark with street lights,3,4,Fatal,Motorbike,37,Male,30,No,Bad Weather
246,2023-05-21,11:18:34,Rhondatown,Snow,Wet,Dark with street lights,1,4,Fatal,Motorbike,48,Female,50,Yes,Drunk Driving
247,2024-08-12,17:42:08,Hicksland,Fog,Wet,Dark with street lights,4,4,Minor,Bicycle,79,Female,50,No,Mechanical Failure
248,2024-03-06,04:05:20,South Brandonfurt,Windy,Snowy,Dark with street lights,3,5,Serious,Bicycle,24,Male,70,No,Distracted Driving
249,2025-01-02,09:39:49,East Angelatown,Snow,Wet,Dark with street lights,5,0,Fatal,Car,40,Male,110,Yes,Distracted Driving
250,2025-03-08,08:57:12,Port Kathleen,Stormy,Wet,Dark without lights,4,1,Minor,Van,66,Female,50,Yes,Distracted Driving
251,2024-07-06,22:29:33,Courtneyfort,Windy,Wet,Dark without lights,5,1,Minor,Motorbike,60,Male,50,Yes,Bad Weather
252,2025-04-17,14:01:58,North Emilyshire,Stormy,Wet,Dark with street lights,4,0,Serious,Motorbike,22,Male,90,No,Drunk Driving
253,2023-08-02,04:23:52,Lake Benjaminside,Windy,Wet,Dark without lights,2,4,Minor,Bus,61,Male,110,Yes,Mechanical Failure
254,2025-02-13,09:49:38,East Timothymouth,Rainy,Icy,Dark with street lights,1,0,Minor,Motorbike,71,Female,50,Yes,Mechanical Failure
255,2023-05-10,12:18:10,North Nicholasview,Stormy,Dry,Daylight,1,5,Minor,Car,22,Male,50,No,Bad Weather
256,2025-01-10,03:13:12,Markhaven,Windy,Wet,Dark with street lights,5,5,Minor,Motorbike,30,Male,30,Yes,Overspeeding
257,2024-06-19,01:25:27,Johnstad,Clear,Snowy,Daylight,4,1,Fatal,Bicycle,34,Male,50,No,Other
258,2024-06-07,21:49:10,Lake Janetborough,Rainy,Snowy,Dark without lights,4,0,Minor,Truck,69,Female,70,Yes,Bad Weather
259,2023-09-02,11:54:41,New Katherineport,Fog,Snowy,Dark without lights,3,3,Serious,Car,61,Male,70,No,Drunk Driving
260,2023-08-26,03:47:08,Michaelfort,Windy,Dry,Dark without lights,5,3,Serious,Bicycle,29,Male,50,Yes,Other
261,2024-05-07,07:25:28,Wallaceland,Fog,Icy,Daylight,3,5,Minor,Bicycle,33,Male,30,Yes,Distracted Driving
262,2024-06-01,14:32:50,Wilsonview,Stormy,Icy,Daylight,1,2,Fatal,Van,31,Male,110,Yes,Mechanical Failure
263,2025-01-07,13:12:52,Bradleyland,Windy,Snowy,Dark without lights,4,2,Minor,Motorbike,54,Male,50,No,Mechanical Failure
264,2024-08-11,14:14:48,Chasetown,Clear,Dry,Dark without lights,4,2,Minor,Bus,49,Female,110,Yes,Other
265,2024-07-22,03:24:37,Lake Darren,Clear,Snowy,Dark with street lights,1,3,Serious,Bus,33,Male,110,No,Other
266,2024-12-23,09:53:02,West Brandonmouth,Rainy,Dry,Dark with street lights,3,1,Minor,Car,63,Female,70,No,Distracted Driving
267,2023-05-10,19:42:01,Port Ruthbury,Stormy,Dry,Dark with street lights,2,5,Minor,Motorbike,29,Female,70,Yes,Distracted Driving
268,2024-10-26,20:23:25,New Ericland,Rainy,Dry,Daylight,1,2,Fatal,Bus,78,Male,30,Yes,Other
269,2024-07-17,20:14:06,Goodwinview,Fog,Wet,Dark without lights,3,3,Fatal,Bicycle,42,Male,50,Yes,Drunk Driving
270,2025-04-03,07:10:10,Port Sara,Rainy,Icy,Dark with street lights,2,4,Fatal,Van,41,Male,90,No,Bad Weather
271,2024-07-15,09:29:52,Obrienshire,Stormy,Wet,Daylight,3,5,Minor,Car,43,Male,110,Yes,Other
272,2025-03-23,22:54:28,Port Laurenside,Clear,Wet,Dark with street lights,2,2,Serious,Bus,39,Female,30,Yes,Distracted Driving
273,2024-09-16,15:03:09,Melissaburgh,Stormy,Snowy,Daylight,5,1,Serious,Bicycle,52,Female,90,Yes,Bad Weather
274,2025-01-22,13:26:41,Gregoryborough,Clear,Wet,Dark with street lights,2,4,Minor,Motorbike,41,Female,110,No,Overspeeding
275,2025-03-09,23:37:11,Patriciaville,Rainy,Wet,Dark without lights,3,3,Minor,Car,76,Male,70,No,Other
276,2023-09-29,08:21:58,North Deborah,Windy,Snowy,Daylight,5,4,Fatal,Truck,69,Female,70,Yes,Mechanical Failure
277,2024-05-17,18:06:29,South Kelliton,Clear,Dry,Daylight,2,1,Minor,Bicycle,20,Female,110,Yes,Drunk Driving
278,2025-04-03,00:12:45,South Kimberly,Windy,Dry,Dark with street lights,4,1,Fatal,Bicycle,50,Female,70,Yes,Mechanical Failure
279,2025-03-25,16:19:20,New Traceytown,Rainy,Wet,Daylight,3,3,Fatal,Motorbike,30,Male,90,No,Bad Weather
280,2024-03-25,19:20:11,North Ana,Windy,Icy,Dark without lights,4,0,Serious,Car,29,Female,50,Yes,Drunk Driving
281,2024-03-31,07:08:39,Katherineview,Snow,Icy,Daylight,3,4,Serious,Bicycle,36,Male,90,No,Overspeeding
282,2024-04-15,03:00:48,Port Scottview,Fog,Wet,Dark with street lights,2,1,Minor,Van,71,Female,50,No,Other
283,2023-09-11,14:39:14,Annaport,Clear,Dry,Dark without lights,2,2,Minor,Car,35,Female,110,Yes,Drunk Driving
284,2024-10-21,09:13:05,South Crystaltown,Snow,Snowy,Dark without lights,1,1,Serious,Bus,72,Male,30,No,Bad Weather
285,2024-01-28,20:56:31,New Aaronstad,Fog,Snowy,Dark with street lights,4,4,Serious,Motorbike,34,Male,50,Yes,Distracted Driving
286,2023-10-18,08:49:57,Lake Randy,Rainy,Icy,Dark without lights,5,3,Minor,Bus,60,Male,70,No,Overspeeding
287,2024-02-25,00:45:01,Timothyberg,Rainy,Dry,Daylight,5,1,Minor,Motorbike,71,Female,110,No,Distracted Driving
288,2023-11-27,00:44:58,Port Lisafurt,Snow,Snowy,Daylight,2,2,Minor,Truck,77,Female,30,Yes,Drunk Driving
289,2025-04-12,13:45:00,Stephanieburgh,Snow,Snowy,Dark with street lights,1,0,Serious,Motorbike,48,Female,50,Yes,Drunk Driving
290,2024-03-02,21:43:39,Brandonberg,Fog,Icy,Daylight,5,3,Minor,Bus,22,Male,70,No,Mechanical Failure
291,2023-05-31,22:34:57,Jonesberg,Rainy,Icy,Daylight,1,0,Minor,Bicycle,74,Female,70,Yes,Bad Weather
292,2024-08-01,09:54:51,West Diamondview,Windy,Snowy,Dark with street lights,1,2,Minor,Van,31,Male,30,Yes,Mechanical Failure
293,2023-11-20,18:36:06,Jamesland,Snow,Icy,Daylight,4,2,Minor,Truck,66,Male,90,No,Bad Weather
294,2024-10-09,13:02:48,North Matthewchester,Windy,Icy,Dark with street lights,4,4,Fatal,Van,23,Female,50,No,Overspeeding
295,2023-05-21,16:32:53,Kyliechester,Fog,Icy,Dark with street lights,4,2,Serious,Van,48,Male,90,No,Drunk Driving
296,2023-08-05,02:41:44,New Stephen,Clear,Wet,Dark with street lights,2,1,Fatal,Bicycle,59,Female,50,Yes,Overspeeding
297,2023-08-18,09:13:53,Jaimeshire,Snow,Dry,Daylight,4,2,Serious,Bicycle,56,Female,70,Yes,Distracted Driving
298,2024-01-05,16:35:31,West Codyview,Fog,Snowy,Dark without lights,2,5,Minor,Van,22,Female,90,No,Overspeeding
299,2024-02-14,07:03:32,Wheelerberg,Windy,Dry,Dark with street lights,3,4,Fatal,Motorbike,71,Male,50,Yes,Other
300,2024-05-05,13:36:06,Stephanieport,Snow,Snowy,Daylight,1,1,Minor,Van,64,Female,50,No,Overspeeding
301,2023-06-16,22:15:07,East Joshua,Fog,Icy,Dark without lights,2,3,Fatal,Car,70,Female,70,No,Other
302,2024-06-02,00:18:02,North Charlestown,Stormy,Snowy,Daylight,1,4,Fatal,Bus,79,Female,30,No,Drunk Driving
303,2023-09-23,10:01:58,Port Wendyborough,Clear,Snowy,Dark with street lights,5,2,Serious,Bicycle,24,Male,110,No,Mechanical Failure
304,2024-07-01,13:53:35,West Anthonyborough,Fog,Dry,Dark with street lights,2,0,Fatal,Van,51,Female,110,No,Distracted Driving
305,2024-09-14,03:34:40,South Kimberly,Stormy,Icy,Daylight,5,5,Minor,Motorbike,48,Male,90,Yes,Bad Weather
306,2024-10-27,22:24:44,Sarahland,Windy,Dry,Daylight,1,2,Minor,Van,75,Female,30,No,Drunk Driving
307,2024-11-18,23:48:51,Gonzalesfurt,Stormy,Icy,Dark without lights,1,3,Minor,Motorbike,67,Female,50,Yes,Drunk Driving
308,2024-09-30,18:50:01,Elizabethport,Snow,Snowy,Dark with street lights,3,1,Serious,Van,22,Male,90,Yes,Distracted Driving
309,2023-08-08,09:26:13,North Dawn,Windy,Wet,Dark with street lights,4,4,Serious,Motorbike,67,Male,90,No,Distracted Driving
310,2023-09-17,05:19:18,Anthonymouth,Fog,Icy,Dark with street lights,1,2,Minor,Bicycle,49,Male,110,No,Other
311,2025-01-01,09:15:56,Faithfort,Clear,Wet,Daylight,4,1,Serious,Bicycle,70,Male,90,Yes,Overspeeding
312,2023-07-06,18:31:10,South Sandra,Clear,Snowy,Dark without lights,1,2,Serious,Bicycle,18,Female,30,No,Other
313,2024-09-23,22:46:27,West James,Stormy,Icy,Daylight,5,5,Serious,Truck,71,Female,110,Yes,Drunk Driving
314,2024-12-07,01:19:40,Brendaview,Stormy,Icy,Dark with street lights,4,4,Minor,Van,43,Female,110,Yes,Distracted Driving
315,2024-03-24,22:01:42,Elizabethside,Snow,Dry,Dark with street lights,4,3,Minor,Van,69,Female,70,No,Mechanical Failure
316,2025-04-05,11:57:39,Calebmouth,Clear,Wet,Dark without lights,5,2,Minor,Bicycle,63,Male,30,No,Other
317,2024-04-24,16:31:17,Martineztown,Rainy,Snowy,Daylight,1,1,Minor,Bicycle,42,Male,110,No,Mechanical Failure
318,2023-07-08,18:07:22,South Heidimouth,Windy,Icy,Dark with street lights,1,5,Serious,Car,30,Female,90,No,Other
319,2025-02-12,10:55:54,East Darlene,Stormy,Snowy,Daylight,4,0,Minor,Truck,43,Male,70,No,Distracted Driving
320,2024-07-13,06:18:43,Thomasmouth,Rainy,Icy,Dark with street lights,5,0,Fatal,Bicycle,29,Male,50,No,Distracted Driving
321,2024-07-31,22:44:24,Hinesburgh,Fog,Wet,Daylight,2,2,Serious,Truck,59,Female,90,Yes,Other
322,2023-10-13,11:19:25,South Kevinhaven,Snow,Snowy,Daylight,2,2,Fatal,Truck,31,Male,70,No,Overspeeding
323,2024-02-15,21:24:52,New Russell,Snow,Icy,Dark without lights,3,2,Serious,Bicycle,45,Male,70,No,Other
324,2023-09-03,08:12:07,Lake David,Rainy,Wet,Dark with street lights,5,5,Minor,Bus,66,Male,50,Yes,Other
325,2024-05-10,21:22:46,East Shannon,Rainy,Wet,Daylight,5,3,Fatal,Bicycle,50,Female,110,Yes,Other
326,2024-11-22,07:05:28,East Randyside,Fog,Wet,Daylight,4,2,Minor,Truck,21,Male,110,Yes,Drunk Driving
327,2023-11-13,00:02:01,Port Lisaville,Stormy,Snowy,Daylight,5,3,Minor,Truck,54,Male,110,No,Mechanical Failure
328,2024-08-16,17:13:27,Gardnerbury,Stormy,Snowy,Dark without lights,4,3,Serious,Bus,40,Male,90,No,Overspeeding
329,2024-05-26,16:59:05,West Dustin,Fog,Icy,Dark with street lights,2,1,Minor,Bus,73,Male,110,Yes,Bad Weather
330,2023-10-18,12:30:33,Blairland,Fog,Icy,Dark with street lights,5,5,Fatal,Bus,80,Female,50,No,Overspeeding
331,2024-04-16,16:38:00,Edwinport,Clear,Dry,Dark with street lights,1,3,Serious,Van,68,Male,110,No,Other
332,2024-09-26,13:40:52,Lake Kellyfurt,Windy,Snowy,Daylight,1,5,Fatal,Motorbike,77,Female,90,Yes,Mechanical Failure
333,2024-04-16,12:35:11,Elizabethtown,Fog,Snowy,Daylight,2,5,Fatal,Van,28,Female,50,No,Distracted Driving
334,2024-11-06,21:00:21,Thomasside,Snow,Snowy,Dark without lights,4,1,Minor,Car,63,Female,50,No,Overspeeding
335,2023-08-07,18:27:07,Bonillabury,Fog,Wet,Daylight,4,1,Serious,Van,44,Female,50,Yes,Mechanical Failure
336,2024-03-12,06:47:59,Port Eric,Windy,Wet,Daylight,2,3,Serious,Car,70,Female,90,Yes,Distracted Driving
337,2023-10-28,09:52:49,Lake Christine,Fog,Dry,Daylight,2,4,Minor,Car,40,Female,50,Yes,Other
338,2025-03-17,22:29:45,South Jasmineburgh,Windy,Icy,Dark with street lights,2,1,Fatal,Bicycle,46,Male,110,No,Bad Weather
339,2023-10-26,22:04:34,West Melanie,Fog,Wet,Daylight,4,5,Fatal,Truck,73,Male,70,No,Bad Weather
340,2024-10-14,10:46:04,East Anitaville,Clear,Snowy,Daylight,5,4,Minor,Van,20,Female,90,No,Bad Weather
341,2024-08-15,13:17:02,Anthonychester,Fog,Wet,Daylight,4,0,Fatal,Truck,80,Male,90,Yes,Mechanical Failure
342,2023-10-29,03:30:36,Lake Andrea,Clear,Wet,Dark without lights,5,2,Serious,Car,73,Male,90,Yes,Distracted Driving
343,2024-08-28,09:26:18,New Randy,Clear,Snowy,Dark with street lights,1,5,Minor,Bicycle,18,Male,50,No,Distracted Driving
344,2024-05-14,16:29:58,West David,Snow,Icy,Dark without lights,3,0,Serious,Bicycle,73,Male,90,Yes,Drunk Driving
345,2023-12-15,14:10:54,Dianastad,Clear,Snowy,Dark with street lights,2,2,Minor,Van,77,Male,110,No,Overspeeding
346,2023-05-02,02:56:10,Robinsonbury,Stormy,Snowy,Dark without lights,1,0,Fatal,Truck,25,Male,30,No,Mechanical Failure
347,2023-07-09,05:00:01,South Joshua,Stormy,Icy,Daylight,2,5,Fatal,Van,73,Male,110,Yes,Other
348,2024-04-14,23:39:48,Alexanderfurt,Fog,Dry,Daylight,1,3,Serious,Bicycle,18,Male,70,Yes,Other
349,2025-03-31,21:53:16,Kathleenmouth,Rainy,Dry,Daylight,5,0,Serious,Van,41,Female,70,Yes,Bad Weather
350,2024-07-28,00:24:58,Bartonhaven,Stormy,Icy,Daylight,4,4,Fatal,Car,75,Female,90,No,Drunk Driving
351,2023-10-29,05:39:43,East Meganville,Stormy,Snowy,Dark with street lights,1,0,Serious,Motorbike,71,Male,50,No,Distracted Driving
352,2024-09-24,09:08:25,West Mariahaven,Windy,Wet,Dark without lights,4,1,Serious,Motorbike,73,Male,30,No,Other
353,2024-03-23,10:27:23,Mirandaside,Fog,Icy,Dark with street lights,1,1,Serious,Car,65,Male,30,No,Bad Weather
354,2023-06-08,04:24:19,Kellyshire,Rainy,Snowy,Dark without lights,3,3,Fatal,Truck,75,Male,70,Yes,Mechanical Failure
355,2023-12-07,03:46:24,Garciastad,Windy,Dry,Dark with street lights,3,5,Fatal,Bus,57,Male,110,No,Other
356,2024-07-08,13:25:26,Stevenborough,Fog,Dry,Dark without lights,3,3,Fatal,Bus,22,Female,90,No,Bad Weather
357,2025-04-15,21:29:12,North Kimberlyhaven,Clear,Dry,Daylight,4,0,Minor,Car,63,Male,90,No,Overspeeding
358,2023-04-30,13:49:53,Ericfort,Stormy,Dry,Dark with street lights,2,1,Serious,Van,66,Male,30,Yes,Distracted Driving
359,2024-12-15,12:25:09,New Karen,Snow,Snowy,Daylight,4,5,Minor,Van,70,Female,90,Yes,Other
360,2024-11-29,11:22:59,New Stephen,Stormy,Dry,Daylight,5,0,Serious,Car,68,Male,90,Yes,Other
361,2023-11-30,00:37:31,North Kevinberg,Stormy,Wet,Dark without lights,1,1,Minor,Van,24,Female,70,No,Bad Weather
362,2024-05-13,10:26:29,Martinview,Snow,Icy,Dark without lights,1,5,Serious,Truck,48,Female,70,Yes,Bad Weather
363,2024-08-02,04:36:49,Robertmouth,Windy,Icy,Dark with street lights,4,3,Minor,Truck,27,Male,50,No,Drunk Driving
364,2024-04-27,03:51:46,Kevintown,Stormy,Snowy,Dark with street lights,1,4,Minor,Bus,35,Female,50,Yes,Bad Weather
365,2024-06-07,18:13:09,Thompsonchester,Fog,Dry,Dark without lights,3,3,Minor,Car,71,Male,50,Yes,Distracted Driving
366,2023-09-22,03:44:41,Robertshaven,Clear,Snowy,Daylight,1,2,Minor,Bus,26,Male,30,Yes,Overspeeding
367,2024-01-16,10:19:24,Mcculloughfurt,Stormy,Dry,Daylight,4,3,Minor,Bicycle,28,Male,30,Yes,Distracted Driving
368,2024-05-05,19:22:59,West Bruce,Snow,Icy,Dark with street lights,2,4,Fatal,Car,54,Male,70,No,Overspeeding
369,2023-12-14,14:06:49,East Michelemouth,Rainy,Dry,Dark with street lights,5,1,Fatal,Truck,37,Male,70,Yes,Drunk Driving
370,2024-01-24,22:12:03,Lake Karen,Snow,Snowy,Dark without lights,1,5,Minor,Bicycle,18,Female,50,No,Distracted Driving
371,2024-09-27,00:11:09,North Laurenside,Windy,Dry,Dark without lights,5,3,Fatal,Car,65,Female,30,No,Overspeeding
372,2023-10-23,18:56:15,West Corybury,Windy,Icy,Dark with street lights,2,4,Serious,Bicycle,73,Female,30,Yes,Drunk Driving
373,2025-01-15,12:30:27,North Christopherside,Fog,Wet,Dark without lights,5,1,Minor,Car,19,Female,50,No,Mechanical Failure
374,2023-08-12,20:10:50,South Marcburgh,Rainy,Icy,Daylight,3,3,Serious,Bicycle,46,Male,30,No,Mechanical Failure
375,2024-02-23,21:43:12,Lake Carolfurt,Snow,Icy,Dark without lights,2,5,Fatal,Bus,75,Male,30,No,Other
376,2024-11-12,10:44:28,Davidfort,Snow,Icy,Dark with street lights,1,2,Minor,Van,48,Female,50,No,Drunk Driving
377,2024-05-21,18:26:07,Ortegamouth,Windy,Dry,Daylight,1,4,Fatal,Bicycle,60,Male,70,No,Mechanical Failure
378,2023-10-18,17:59:28,Lake Taylorberg,Stormy,Snowy,Dark with street lights,3,2,Fatal,Truck,27,Female,30,Yes,Distracted Driving
379,2024-07-18,17:48:50,Wallermouth,Clear,Snowy,Dark with street lights,3,3,Fatal,Car,62,Male,30,No,Distracted Driving
380,2024-10-16,08:55:02,Lake Samuel,Snow,Wet,Dark without lights,2,0,Serious,Car,61,Male,50,No,Mechanical Failure
381,2024-11-19,03:22:07,Nathanshire,Fog,Icy,Daylight,3,0,Minor,Car,50,Male,50,Yes,Mechanical Failure
382,2024-03-28,11:24:48,New Joel,Windy,Icy,Daylight,4,4,Fatal,Motorbike,79,Male,50,Yes,Drunk Driving
383,2025-03-18,12:28:05,West Michaelside,Snow,Snowy,Dark without lights,3,2,Fatal,Van,31,Male,110,Yes,Bad Weather
384,2024-05-29,09:19:51,Porterborough,Stormy,Icy,Dark without lights,5,5,Minor,Van,34,Male,110,Yes,Drunk Driving
385,2025-03-05,08:35:19,Simontown,Fog,Icy,Dark with street lights,2,2,Serious,Truck,26,Female,50,No,Mechanical Failure
386,2024-12-14,15:40:08,North Johnton,Rainy,Snowy,Daylight,2,2,Serious,Bicycle,49,Male,110,No,Bad Weather
387,2025-02-15,14:05:46,East Tammyside,Windy,Dry,Dark with street lights,4,3,Minor,Car,38,Male,50,No,Distracted Driving
388,2024-02-21,02:00:17,New Savannah,Clear,Wet,Dark without lights,3,5,Minor,Bus,21,Female,30,Yes,Distracted Driving
389,2023-05-25,06:10:11,South Kelli,Snow,Icy,Dark with street lights,1,3,Serious,Bicycle,47,Female,70,No,Drunk Driving
390,2023-11-24,11:35:43,Franklinville,Clear,Snowy,Daylight,2,5,Fatal,Motorbike,38,Male,70,Yes,Overspeeding
391,2023-11-21,20:54:43,Port Karenmouth,Windy,Wet,Dark with street lights,1,3,Minor,Bus,55,Male,30,Yes,Other
392,2023-08-04,17:43:42,Lake Carlport,Snow,Snowy,Dark without lights,3,0,Minor,Truck,47,Male,50,Yes,Other
393,2024-04-12,19:11:56,Gregoryland,Rainy,Snowy,Dark without lights,5,1,Serious,Car,67,Female,30,Yes,Drunk Driving
394,2025-04-22,02:14:01,Lopezshire,Snow,Wet,Dark with street lights,2,5,Minor,Van,70,Female,70,Yes,Drunk Driving
395,2024-01-25,11:53:38,Lake Paul,Stormy,Dry,Dark with street lights,5,1,Fatal,Truck,31,Male,30,No,Mechanical Failure
396,2023-12-17,08:43:18,East Cheryl,Stormy,Icy,Dark with street lights,3,2,Fatal,Truck,33,Female,110,Yes,Other
397,2024-12-30,02:57:24,East Vanessachester,Rainy,Snowy,Dark without lights,5,5,Serious,Van,32,Female,70,Yes,Overspeeding
398,2024-05-13,13:16:52,Port Dustinfort,Clear,Wet,Daylight,1,1,Fatal,Bus,75,Male,90,Yes,Distracted Driving
399,2024-01-09,18:28:11,Andersonchester,Stormy,Wet,Dark without lights,5,5,Serious,Bus,46,Male,90,No,Overspeeding
400,2023-09-03,21:06:16,East Marychester,Clear,Icy,Daylight,3,0,Minor,Bicycle,72,Female,110,Yes,Other
401,2025-02-12,08:42:19,West Brett,Stormy,Wet,Daylight,4,0,Fatal,Bus,78,Male,30,No,Bad Weather
402,2024-01-20,20:17:39,Cookside,Rainy,Icy,Dark without lights,3,1,Fatal,Motorbike,50,Female,30,Yes,Mechanical Failure
403,2023-12-22,14:23:04,Port Danside,Stormy,Dry,Dark without lights,5,2,Serious,Car,27,Female,70,Yes,Overspeeding
404,2024-04-14,08:30:48,South Oscar,Windy,Snowy,Dark with street lights,2,5,Serious,Bus,72,Female,30,No,Overspeeding
405,2024-07-05,10:33:46,Mcdonaldhaven,Snow,Snowy,Dark with street lights,2,5,Minor,Truck,19,Female,50,Yes,Distracted Driving
406,2024-09-17,13:37:56,Moralesland,Fog,Snowy,Daylight,5,3,Minor,Van,37,Female,70,No,Mechanical Failure
407,2023-05-22,04:29:47,Loriland,Clear,Icy,Daylight,1,4,Fatal,Motorbike,52,Male,110,Yes,Mechanical Failure
408,2025-02-09,01:37:45,Michelleport,Windy,Wet,Dark with street lights,3,2,Fatal,Car,58,Female,110,No,Distracted Driving
409,2023-05-27,11:10:54,North Joshuaview,Rainy,Snowy,Daylight,2,5,Fatal,Motorbike,35,Male,70,No,Distracted Driving
410,2024-05-07,00:37:37,Lake Sarahburgh,Windy,Icy,Dark with street lights,5,5,Serious,Bicycle,45,Male,70,No,Bad Weather
411,2024-11-02,07:48:46,Arianaburgh,Clear,Snowy,Daylight,1,5,Fatal,Truck,56,Male,50,Yes,Other
412,2024-01-28,02:44:55,Millerborough,Clear,Snowy,Dark with street lights,1,1,Serious,Bus,63,Female,30,Yes,Other
